,ID,Solution
0,0,1
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,1
8,8,0
9,9,0
10,10,1
11,11,1
12,12,1
13,13,1
14,14,0
15,15,1
16,16,0
17,17,1
18,18,1
19,19,0
20,20,0
21,21,1
22,22,1
23,23,0
24,24,1
25,25,1
26,26,1
27,27,0
28,28,1
29,29,0
30,30,1
31,31,1
32,32,1
33,33,1
34,34,0
35,35,0
36,36,0
37,37,1
38,38,0
39,39,0
40,40,1
41,41,1
42,42,0
43,43,0
44,44,0
45,45,0
46,46,1
47,47,0
48,48,0
49,49,0
50,50,0
51,51,1
52,52,0
53,53,0
54,54,1
55,55,0
56,56,1
57,57,1
58,58,1
59,59,1
60,60,0
61,61,0
62,62,1
63,63,0
64,64,1
65,65,1
66,66,0
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,0
75,75,0
76,76,1
77,77,1
78,78,1
79,79,0
80,80,0
81,81,1
82,82,0
83,83,1
84,84,0
85,85,1
86,86,1
87,87,0
88,88,0
89,89,0
90,90,1
91,91,1
92,92,0
93,93,1
94,94,1
95,95,1
96,96,0
97,97,0
98,98,1
99,99,0
100,100,0
101,101,0
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,0
108,108,1
109,109,0
110,110,0
111,111,1
112,112,1
113,113,1
114,114,0
115,115,1
116,116,0
117,117,0
118,118,1
119,119,1
120,120,0
121,121,1
122,122,0
123,123,1
124,124,0
125,125,1
126,126,1
127,127,0
128,128,0
129,129,0
130,130,0
131,131,1
132,132,1
133,133,1
134,134,0
135,135,0
136,136,0
137,137,0
138,138,0
139,139,0
140,140,0
141,141,1
142,142,1
143,143,1
144,144,0
145,145,1
146,146,0
147,147,1
148,148,1
149,149,1
150,150,0
151,151,0
152,152,1
153,153,0
154,154,0
155,155,1
156,156,1
157,157,0
158,158,0
159,159,1
160,160,1
161,161,1
162,162,1
163,163,1
164,164,1
165,165,1
166,166,1
167,167,1
168,168,0
169,169,1
170,170,0
171,171,1
172,172,0
173,173,1
174,174,1
175,175,1
176,176,0
177,177,1
178,178,1
179,179,1
180,180,0
181,181,0
182,182,0
183,183,1
184,184,1
185,185,1
186,186,1
187,187,1
188,188,0
189,189,1
190,190,1
191,191,0
192,192,1
193,193,1
194,194,0
195,195,1
196,196,1
197,197,0
198,198,0
199,199,1
200,200,1
201,201,0
202,202,0
203,203,1
204,204,1
205,205,1
206,206,0
207,207,1
208,208,1
209,209,0
210,210,1
211,211,0
212,212,1
213,213,0
214,214,0
215,215,0
216,216,0
217,217,0
218,218,1
219,219,0
220,220,0
221,221,1
222,222,0
223,223,0
224,224,1
225,225,0
226,226,1
227,227,0
228,228,0
229,229,0
230,230,0
231,231,0
232,232,0
233,233,0
234,234,1
235,235,0
236,236,0
237,237,0
238,238,0
239,239,1
240,240,1
241,241,1
242,242,0
243,243,1
244,244,0
245,245,1
246,246,0
247,247,1
248,248,0
249,249,1
250,250,0
251,251,0
252,252,1
253,253,1
254,254,0
255,255,0
256,256,1
257,257,0
258,258,1
259,259,1
260,260,0
261,261,0
262,262,1
263,263,1
264,264,1
265,265,0
266,266,0
267,267,1
268,268,0
269,269,0
270,270,0
271,271,0
272,272,1
273,273,1
274,274,0
275,275,0
276,276,0
277,277,0
278,278,1
279,279,1
280,280,0
281,281,1
282,282,1
283,283,1
284,284,1
285,285,0
286,286,1
287,287,1
288,288,1
289,289,1
290,290,0
291,291,0
292,292,0
293,293,1
294,294,1
295,295,0
296,296,0
297,297,0
298,298,1
299,299,0
300,300,1
301,301,1
302,302,1
303,303,1
304,304,0
305,305,0
306,306,1
307,307,0
308,308,1
309,309,0
310,310,1
311,311,0
312,312,0
313,313,1
314,314,1
315,315,1
316,316,1
317,317,0
318,318,1
319,319,0
320,320,0
321,321,0
322,322,1
323,323,0
324,324,1
325,325,0
326,326,1
327,327,1
328,328,1
329,329,0
330,330,0
331,331,1
332,332,0
333,333,0
334,334,0
335,335,1
336,336,0
337,337,0
338,338,0
339,339,1
340,340,0
341,341,0
342,342,1
343,343,1
344,344,1
345,345,1
346,346,1
347,347,0
348,348,1
349,349,0
350,350,0
351,351,1
352,352,0
353,353,1
354,354,1
355,355,0
356,356,1
357,357,0
358,358,0
359,359,0
360,360,0
361,361,0
362,362,0
363,363,0
364,364,0
365,365,0
366,366,0
367,367,1
368,368,1
369,369,1
370,370,0
371,371,0
372,372,0
373,373,0
374,374,0
375,375,0
376,376,1
377,377,1
378,378,0
379,379,0
380,380,0
381,381,0
382,382,0
383,383,1
384,384,0
385,385,1
386,386,1
387,387,1
388,388,1
389,389,0
390,390,1
391,391,1
392,392,1
393,393,0
394,394,0
395,395,0
396,396,1
397,397,0
398,398,1
399,399,0
400,400,1
401,401,0
